name,family,tv0,tv6,tv12,tv18,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,delta_vs_v002
scalar_0.380000,scalar,0.38,0.38,0.38,0.38,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
scalar_0.383099,scalar,0.383099,0.383099,0.383099,0.383099,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
scalar_0.390000,scalar,0.39,0.39,0.39,0.39,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
scalar_0.404027,scalar,0.404027,0.404027,0.404027,0.404027,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
scalar_0.410000,scalar,0.41,0.41,0.41,0.41,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
scalar_0.420000,scalar,0.42,0.42,0.42,0.42,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
scalar_0.350000,scalar,0.35,0.35,0.35,0.35,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
scalar_0.400000,scalar,0.4,0.4,0.4,0.4,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
scalar_0.224460,scalar,0.22446,0.22446,0.22446,0.22446,13541358.07263282,13189760.536833405,280210.28435697843,71387.25144243611,21479288.920926154,21017811.84384487,520982.8469181304,982459.9239994151,15619.181611456745,1881418.7057372727,6810.535184865608,1200.0,10800.0,1977.2030023675713,1975.0785061640966,6386639.20163765,5173816.376885261,19948.36518058367
anchor_zero,scalar,0.0,0.0,0.0,0.0,13541620.907941336,13190240.292442095,279993.36405680276,71387.25144243611,21480423.38099955,21017822.944450773,520982.7034836026,983583.1400323797,15619.181611456745,1881418.3500613938,6809.962429867315,1200.0,10800.0,1974.1420469744894,1972.0175507710146,6386699.497857552,5173865.216823382,20211.20048910007
