name,target_mode,waypoint,need_kind,cover_ratio,fixed_kwh,n_cheapest,enforce,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,mean_soc6_target,delta_vs_v002
six_fixed4000_n48_ge,fixed,six,,0.0,4000.0,48,ge,13689461.192520969,12886069.652723921,746931.5911449485,56459.94865209949,20796760.376072567,21083730.29162576,1229952.4143854964,942982.498832305,9418.325036011061,1940982.6426824667,7312.2738505072375,1200.0,10800.0,4692.228617909988,4690.142929748473,6387386.509863103,5174410.0308504645,4000.0,168051.48506873287
six_fixed4000_n12_soft,fixed,six,,0.0,4000.0,12,soft,13689461.192520969,12886069.652723921,746931.5911449485,56459.94865209949,20796760.376072567,21083730.29162576,1229952.4143854964,942982.498832305,9418.325036011061,1940982.6426824667,7312.273468936121,1200.0,10800.0,4692.228617909988,4690.142929748473,6387386.509863103,5174410.0308504645,4000.0,168051.48506873287
midnight_hist_morning_c0.8_n12_ge,forecast,midnight,hist_morning,0.8,0.0,12,ge,13694868.34308439,13451497.25014913,187346.88200609508,56024.21092916242,21498515.950687677,20979945.25365656,471521.7504203991,990092.4474515172,10429.49063105246,1902851.9520948885,7586.764751989514,1200.0,10800.0,8172.303007401108,8151.2624260744215,6077147.873541362,4928814.576315306,7639.322781470392,173458.6356321536
midnight_hist_morning_c0.8_n12_soft,forecast,midnight,hist_morning,0.8,0.0,12,soft,13694868.34308439,13451497.25014913,187346.88200609508,56024.21092916242,21498515.950687677,20979945.25365656,471521.7504203991,990092.4474515172,10429.49063105246,1902851.9520948885,7586.764589350258,1200.0,10800.0,8172.303007401108,8151.2624260744215,6077147.873541362,4928814.576315306,7639.322781470392,173458.6356321536
six_hybrid_morning_c0.3_n12_soft,forecast,six,hybrid_morning,0.3,0.0,12,soft,13696099.08018925,12830953.332645966,804439.3969664085,60706.350576873614,20670688.647397418,21044110.267898966,1324940.4574920055,951518.8369904573,11238.2050177624,1907597.4318468545,7249.1594550421,1200.0,10800.0,4909.233606818339,4901.769048977342,6372659.958895845,5164098.412792638,4115.42361780162,174689.37273701467
six_hybrid_morning_c0.3_n12_ge,forecast,six,hybrid_morning,0.3,0.0,12,ge,13696099.08018925,12830953.332645966,804439.3969664085,60706.350576873614,20670688.647397418,21044110.267898966,1324940.4574920055,951518.8369904573,11238.2050177624,1907597.4318468545,7249.159836613216,1200.0,10800.0,4909.233606818339,4901.769048977342,6372659.958895845,5164098.412792638,4115.42361780162,174689.37273701467
six_hybrid_morning_c0.3_n48_soft,forecast,six,hybrid_morning,0.3,0.0,48,soft,13696099.08018925,12830953.332645966,804439.3969664085,60706.350576873614,20670688.647397418,21044110.267898966,1324940.4574920055,951518.8369904573,11238.2050177624,1907597.4318468545,7249.1594550421,1200.0,10800.0,4909.233606818339,4901.769048977342,6372659.958895845,5164098.412792638,4115.42361780162,174689.37273701467
six_hybrid_morning_c0.3_n48_ge,forecast,six,hybrid_morning,0.3,0.0,48,ge,13696099.08018925,12830953.332645966,804439.3969664085,60706.350576873614,20670688.647397418,21044110.267898966,1324940.4574920055,951518.8369904573,11238.2050177624,1907597.4318468545,7249.159836613216,1200.0,10800.0,4909.233606818339,4901.769048977342,6372659.958895845,5164098.412792638,4115.42361780162,174689.37273701467
midnight_fixed4000_n12_soft,fixed,midnight,,0.0,4000.0,12,soft,13734600.657353546,13458050.43618808,213366.68354914253,63183.537616323636,21359437.795619708,20745395.277703546,490522.74747447204,1104565.265390635,11189.962844700198,1715147.418374746,6531.84793170855,1200.0,10800.0,4718.813926972627,4716.7282388111125,5804606.763516766,4702358.436309933,4000.0,213190.94990131073
midnight_fixed4000_n12_ge,fixed,midnight,,0.0,4000.0,12,ge,13734600.657353546,13458050.43618808,213366.68354914253,63183.537616323636,21359437.795619708,20745395.277703546,490522.74747447204,1104565.265390635,11189.962844700198,1715147.418374746,6531.8483132796655,1200.0,10800.0,4718.813926972627,4716.7282388111125,5804606.763516766,4702358.436309933,4000.0,213190.94990131073
